epoch,train_loss,val_loss,macro_auc,precision,recall,f1,is_best
1,0.1919,0.1823,0.6909,0.0919,0.0583,0.0520,True
2,0.1818,0.1792,0.7235,0.0974,0.0616,0.0582,True
3,0.1779,0.1747,0.7466,0.1448,0.0687,0.0736,True
4,0.1752,0.1740,0.7546,0.2389,0.0656,0.0720,True
5,0.1730,0.1729,0.7648,0.2154,0.0654,0.0761,True
6,0.1710,0.1706,0.7688,0.2443,0.0779,0.0880,True
7,0.1693,0.1705,0.7735,0.2356,0.0775,0.0864,True
8,0.1678,0.1696,0.7794,0.2366,0.0864,0.1039,True
9,0.1659,0.1718,0.7756,0.2495,0.0828,0.0926,False
10,0.1643,0.1693,0.7829,0.3027,0.0926,0.1080,True
11,0.1623,0.1704,0.7826,0.3015,0.0911,0.1089,False
12,0.1601,0.1726,0.7743,0.2711,0.0974,0.1236,False
13,0.1572,0.1716,0.7815,0.2799,0.1024,0.1244,False
14,0.1543,0.1735,0.7742,0.2660,0.1117,0.1321,False
15,0.1451,0.1770,0.7695,0.2916,0.1143,0.1424,False
