epoch,train_loss,val_loss,macro_auc,precision,recall,f1,is_best
1,0.1908,0.1835,0.6891,0.1027,0.0554,0.0570,True
2,0.1823,0.1796,0.7187,0.1112,0.0640,0.0658,True
3,0.1793,0.1782,0.7373,0.1417,0.0632,0.0698,True
4,0.1770,0.1758,0.7528,0.1413,0.0719,0.0771,True
5,0.1741,0.1755,0.7567,0.2976,0.0701,0.0718,True
6,0.1716,0.1718,0.7704,0.2627,0.0819,0.0941,True
7,0.1696,0.1701,0.7792,0.2857,0.0951,0.1130,True
8,0.1680,0.1689,0.7877,0.2728,0.0959,0.1177,True
9,0.1664,0.1694,0.7890,0.2885,0.1050,0.1252,False
10,0.1650,0.1681,0.7912,0.2988,0.0862,0.0986,True
11,0.1638,0.1680,0.7903,0.3185,0.0997,0.1253,True
12,0.1627,0.1676,0.7995,0.3332,0.1129,0.1439,True
13,0.1613,0.1663,0.7988,0.3955,0.1126,0.1397,True
14,0.1600,0.1656,0.8053,0.3454,0.1057,0.1333,True
15,0.1588,0.1655,0.8055,0.3204,0.1239,0.1559,True
16,0.1574,0.1652,0.8050,0.3338,0.1213,0.1546,True
17,0.1562,0.1675,0.7999,0.3317,0.1079,0.1376,False
18,0.1549,0.1663,0.8059,0.3160,0.1354,0.1711,False
19,0.1528,0.1667,0.8049,0.3379,0.1351,0.1679,False
20,0.1511,0.1691,0.8035,0.3137,0.1423,0.1706,False
